text,hard_label,model_answer
"<user> Come on man. Listen Jack , okay here’s the deal... you have a hard enough time with the alphabet, let alone run a country😘✌️.",1, 1                    
Who TF is asking these motherfuckers to dance in honor of George Floyd? Like please!!,1, 1                    
"We are happy to announce that WE ARE NOW REOPEN FOR TESTING!!! Due to COVID-19 concerns, we are limiting testing to APPOINTMENT ONLY and we have added many new procedures to keep you and our clients safe. Please call to inquire today! <url>",0, 0                    
<user> <user> and their contributors are a cancer on our society. They purposely feed disinformation to their viewers. Morally bankrupt and dangerous.,0, 1                    
<user> BAN ANONYMOUS ACCOUNTS,0, 1                    
<user> COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID  You’ve failed!! Just stop the BS!,0, 1                    
Total Confirmed Covid Cases by County For UT   7-30-20:  This and our Covid series of visualizations cuts through the noise thanks to USAFacts and a top team of data scientists. #covidvislualizations #coviddata #smcanalytics <url>,0, 0                    
"<user> <user> <user> Not buying what your selling,-#Socialismneverworks",0, 1                    
Fuck you covid 19 <url>,1, 1                    
"<user> <user> Where do people get these ridiculous takes. George Floyd was a 6 foot 6 grown man and she is a 17 year old woman. If they are willing to let a man crying for his mother to die they problem would be fine taking out one more person. It's the officers who killed Floyd, not her.",0, 1                    
Right-wing Accelerationists and Infiltrators = White Supremacists at Protests:  <url>,0, 1                    
<user> Your done! Hell no #JOEBIDEN2020,0, 1                    
"Shit got real, real fast.",0, 1                    
"Reality. Super!  #BlackLivesMatter is a racist black hate group, Soros’ target for manipulation. They are now fully allied with ANTIFA and just as worthy to be designated as a Domestic Terrorists.  Who was looting, burning, and murdering in the riots? ANTIFA?  BLM INSPIRED BLACKS <url>",1, 1                    
This is what the happens in the brains of people who believe that 5g internet causes Covid-19.,0, 0                    
"<user> <user> Hey bruh,  that's  not cool. Democrats  play dirty but we should  play smarter. #MAGA",0, 1                    
"<user> <user> I heard the AntiChrist pontificate from the pulpit using all the six words of his vocabulary, assisted by scores of made-up mumbled &amp; slurred terms.  He was ‘Biden his time and summoning forth his goons for more dirty work.   - Thus Spake Zarathustra",1, 1                    
<user> <user> <user> How dare you tweet crap during George Floyd’s funeral!,0, 1 
"george floyd was known as ""mr smile"" and ""gentle giant"" because of his kindness. he always protected women from the bar/resturant he worked at &amp; used to wait with them until their ubers came. fuck the police who killed this precious man.   #BlackLivesMatters  #RAISETHEDEGREE <url>",1, 1                    
"If people think racism isn’t alive and well in Canada, you are living under a rock! I hope they not only arrested him for mischief but for a hate crime as well. Considering it was a BLM march, it would be well deserved, asshole! #protests2020 #BLMTO",1, 1                    
"<user> <user> <user> Wait, is this the clown who said that the riots would not stop after the elections? Whose husband announced that he was the husband of the next President? Who is fooling the East Indian people into believing that she is one of them? Dumped Jamaica now?",0, 1                    
"hey #Austin store owners need to order new store signs that post ""no shoes, no shirt, no mask- no service"" #atx #austintx cc <user> <user> <user> <user> <user> #COVID19 #COVID19SWEDEN",0, 0                    
"This is not a game <user> Moron! You worry more about your stupid hats than 170,000 American lives lost from covid...go away you imbecile...🇺🇸",1, 1                    
"<user> <user> <user> So you admit that Trump was also classless? I'd say that failing to condemn white supremacists is pretty classless. Yet you pretended not to understand why he failed to do it. Brian, just admit it - the president is also a white nationalist.",0, 1                    
"<user> For you and your Chinese overlords, 操你",1, 1                    
This is not even CLOSE to true!!!,0, 1                    
"As COVID-19 continues to impact the nation, learn how <user> works to support Florida’s veterans and military families: <url> <url>",0, 0                    
<user> His ONLY plan is to steal the WH. He's a one-trick jack<user>,0, 1                    
<user> <user> <user> Putin's #BunkerBitch  #TrumpIsADomesticTerrorist #TrumpDeathToll104K #VoteBlueLikeYourLifeDependsOnIt #BlackLivesMatter #EnoughIsEnough🖕😘 <url>,1, 1                    
<user> This is such a lie. This tweet is egregious. Delete it,0, 1                    
<user> <user> We lost count of how many white men have killed you George  i cant breathe floyd makes number what?,0, 1                    
"""NEW COVID-19 ADVISOR IS A FRAUD AND NOT AN EXPERT!  Researchers &amp; doctors at Stanford's Med School say Alas is NOT AN EXPERT IN DISEASES. In fact, he """"peddles falsehoods.""""  ABC NEWS 9/10/20 and Business Insider, 9/29/20""",0, 1                    
Good job <user> 😉,0, 0 
<user> Dear God.,0, 0
Definitely not punching down,0, 0                    
‘We’re moving in the wrong direction’: Houston mayor issues dire warning about Texas COVID-19 explosion - Raw Story <url> via  <user>,0, 0                    
"<user> Bush was incredibly bad, and both left the economy in shambles. But Bush succesfully fought Sars Covid 1, and implemented the pandemic rapid response team in the WH, trump sent them home. Bush was a foe to Putin and never got a love letter from North Korea. So trump is much worse",0, 0                    
"Useful Idiots Podcast: George Floyd protests, Dems’ failures and the 2020 election with guests Marianne Williamson and historian Dr. Gerald Horne <url>",1, 0                    
<user> Some people talk much but say little,0, 0                    
"<user> <user> <user> God Bless the USA &amp; Pres Trump! EVIL NWO Globalist MAFIA is paying anarchist/thugs to destroy and destabilize America! Russia hoax failed, Impeachment failed, Covid19 falied, now Riots, burning, destroying America's cities! This fight is Good vs EVIL! <url>",0, 1                    
<user> THIS IS WHAT YALL DO?! #BlackLivesMatter #NewYork #NYPD <url>,0, 1                    
"just... a question, how can you able to murder someone who has that smile..... i mean... how... what a heartless being....",0, 1                    
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> I can't believe my fellow Minnesotans are that Fling stupid. Its always been a dem state but.....Biden and heals up Harris. Good God,1, 1                    
"Who said RIP is Muslim abbreviation ... Show me ??. Itsy a general term use for all religion ....   Say  "" He is Allah , (Who) is One """,0, 0                    
"MY. GOD. 🎯  All true.   It is utterly unconscionable   The cruelty burns through my soul — I will never understand what the GOP did to the American people  This party should DIE, just like all their victims of Covid  #MAGA MORONS   #VOTE THEM ALL OUT   🚨🚨🚨",1, 1                    
<user> <user> Trump golfing this weekend while people die from Covid19? <url>,0, 1                    
"Funny how he calls the Protesters ""Anarchists"" but not the Police Officer who murdered George Floyd and the other Officers who stood over and watched.... <url>",0, 1                    
<user> <user> <user> And this Big Guy will mindlessly drug hoover all the Cocaine off Malia Obama in the West Wing kitchen before doing megadeals on China White. <url>,0, 1                    
This is nuts. Parents don’t want their kids tested.,0, 1                    
"<user> <user> <user> <user> Their word someone shot at them.🤔  Kind of like their word they didn't murder #GeorgeFloyd, or they ""accidentally killed"" #BreannaTaylor ?",0, 1                    
"Nothing said at all. <user> mentioned David Dorn last night on Fox. Very respectful. He was a great man, black &amp; didn’t get the respect he deserved. Off duty &amp; went to help a business being rioted because of the Thugs. Sad🙏🏼🙏🏼🙏🏼🙏🏼",0, 0                    
Looter Shot Dead by Pawn Shop Owner in George Floyd #Minneapolis  Riots Midwestern city rocked by anarchy <url>,0, 1                    
"<user> <user> <user> ""GOP operatives"" 😂",0, 1                    
"With great Italian Americans like Fiorello La Guardia in US history, why would anyone want a racist like Columbus to be the symbol of a nationality?  Hell, pick Garibaldi who at least supported the anti-slavery movement in the US.   <url>",1, 1                    
<user> Pennsylvania a racist state. I’m every city we’re shown by the cops and they don’t give a fuck. State regionals too? Nah fuck them all. I’m from York and a York city cop re-enacted George Floyd’s death. Sign and get this man off the force.  <url>,1, 1                    
don't take the mark of the beast washington disease pedophiles baby eating drinking blood murderers coroner=corona sheeple lead to the slaughter house HOAX VIRUS THE JESUITS ARE REAL TERRORIST,1, 1                    
<user> So after doing some research a page called OpDeathEaters and youranoncentral are spreading false info people just believe it because there under the name 'anonymous' and think there actually hackers OP shared that Princess Diana was assassinated but that's from a fake news site,0, 0                    
kill coronavirus w kindness <url>,0, 0                    
<user> <user> <user> <user> <user> Just say you’re racist and go you literally have nothing more to say just over and over,0, 1                    
<user> <user> <user> No one and I mean no one wants China to own us!! Biden sold us out! Vote Trump to keep Americans safe. #Trump2020 <url>,0, 1                    
Madness rules this world...,0, 1                    
<user> Did he really die of COVID-19. ???,0, 0                    
<user> <user> THE SCAMWOW PRESIDENT,0, 1                    
"<user> The fact that a lot of supporters for #BlackLivesMatter are from India shows that our society is changing, realising its own mistakes and trying to correct it. So yes your Mockery is definitely not doing anything except denying a change that exists in Indian society.",0, 0                    
Because he has no intelligent thoughts!,1, 1                    
Why does the union support tRUMP???,0, 1                    
<user> <user> No he doesn’t. It’s GOP propaganda. Another reason why we need to vote for <user>,0, 1                    
This is why the #BlackLivesMatter movement is so freakin important! This is why the protests will only continue to get stronger. This is why the voices will only get louder. This is why we can’t ever stop fighting for black equality!!!,0, 0                    
"<user> Right, even if you have to fill them out yourself",0, 0                    
<user> <user> Truth from Trump? Hahahaha. Man the Republicans are getting so stupid.,0, 1                    
Thousands in Australia rally against racism and killing of George Floyd <url>,0, 0                    
They are so dirty!!,0, 1 
<user> You’re joking right shuffles; covid cases are up as well as covid related deaths you imbecile or do you not recognize the 124k deaths because they make you look bad,1, 1                    
<user> told the Proud Boys to stand by then tells his supports to go into the polls and watch.  Sounds like a call for intimidation and terrorism. If you are still undecided you are a racist.  If your are undecided and say but <user> &amp; <user> you're racist.,1, 1                    
"I am not black but I see you, I am not black but I hear you, I am not black but i mourn with you, I am not black but I will fight for you! #BlackLivesMatter <url>",0, 0                    
😂😂😂😂😂Golden,0, 0                    
STUPIDITY abounds in Mainstream Media!,0, 1                    
<user> <user> Our Vice Bobblehead and Criminal GOP,1, 1                    
"Consider how long and what it took—including video of the last 8 minutes and 46 seconds of #GeorgeFloyd’s life and weeks of national and international protest—just to get the #NFL to simply admit: ""We were wrong."" #NFLapology #blacklivesmatter #takeaknee #ColinKaepernick",0, 0                    
The Trump administration is delusional,0, 1                    
"Oh thank you for Recognizing <user> Mr Prez <user> Whenever you ask to Show the Crowd they always do so! They’re awesome, very Friendly &amp; they Respect &amp; Luv you too, Like All us Patriots! At times they have <user>  A Champion for the Unborn Children! #MAGA",0, 1                    
remember when #BlackLivesMatter did this? <user>,0, 1                    
"For general information about the #coronavirus, we recommend checking out <user> <user> <user> &amp; <user> Who do you go to?",0, 0                    
<user> why are u even eating that do u want the coronavirus 🤢🥴🥴🥴🥴🥴,0, 1                    
Who has advised the Gov that federal aid is tied to not wearing masks?   Mnuchin? pence?  That’s deliberately endangering people,0, 1                    
7 SIGMA Simulation Systems.. 7S.. built these CPR dummies..Building is now burned down in Minneapolis..#GeorgeFloyd #GeorgeFloydHoax,1, 1                    
#India and #Colombia are getting ridiculous.  #coronavirus #COVID19 <user> <user> <user> <url>,0, 0                    
covid has turned me into a little snitch but i only snitch on the snitches,0, 1                    
"Dear Mrs. Biden, stop abusing your husband to death...",1, 1                    
"Yep. And the cops are *PISSED*, too. 👍",0, 1                    
"YES, but we can't support looters who are on the streets!",0, 1                    
<user> The GOP Chairwoman  doesn't know who the current president is? I'm going to blame Ronna McDaniel for the Covid crisis. Sounds like she's dumb enough to believe that.,1, 1                    
Trump on Covid death toll: 'It is what it is'   ⁦ <user> <url>,0, 1                    
<user> <user> Trump is Destroying America ....in the midst of the COVID19!...at that 💯💯💯💯💯💯💯💯💯💯💯,0, 1                    
"NO JUSTICE, NO PEACE #RAISETHEDEGREE  #BLACK_LIVES_MATTER   <url>",0, 1                    
<user> Five democratic governors killed more people from covid than almost everyone else combined!,0, 1                    
<user> Here's another thing ya just can't make up.  Your 50 year old son smoking crack and abusing children on video.  And yet here we are,1, 1                    
<user> <user> <user> <user> Trump has dropped more bombs in three years than Obama did in eight.,0, 1                    
Two viruses. But white blood cells can’t fight off white supremacy.,0, 1                    
Smash mouth!,0, 1                    
Wow. This is real?,0, 0                    
<user> <user> My hand is raised. Trump is the worst President this country has had to suffer through. <url>,0, 1                    
<user> <user> <user> Covid 19-poll? You’re irrelevant now. Shut up,0, 1                    
I know it ain’t shit but anything I can do to help #BlackLivesMatter 🤎 <url>,1, 1                    
This is disgusting 😡Just like his dad!,0, 1                    
Everybody hates you covering for pedos Twitter.  Fk'n Pieces of 💩💩💩 <url>,1, 1                    
"#ProudBoys are American patriots that support the Constitution and believe in family values. The #FakeNewsMedia always calls the right racist, but they are the true racists. #standbackstandby <user> slayed <user> last night! #KAG",0, 1                    
UK cell towers torched amid bogus conspiracy theories that link 5G with coronavirus <url>,0, 1                    
"<user> <user> <user> <user> Anonymous died in 2011 when everyone got snapped up for dossing the banks, whoever was left lurked 4chan. So nazi right wing hackers are part of team BLM? Use your common sense fuckwit. Anyone can make a anonymous video.",1, 1                    
He was a master criminal and that’s why he was arrested in the first place. He was suspected of stealing by writing hot checks I’ve heard. Information about his criminal activities is sketchy and are being hidden from the public. I don’t know why!,0, 0                    
That’s the TEA on performative activism 👀☕️   also I’m pretty sure that black out Tuesday got more posts than signatures on individual petitions (which honestly take just as much time if not less than posting the black square),0, 0                    
"""For to be free is not merely to cast off one’s chains, but to live in a way that respects and enhances the freedom of others.""     —Nelson Mandela",0, 0                    
"Need I say more? Trolling the Democrats is by far one of my favorite pastimes, looks like <user> does to! Except <user> does it with class and He trolls like an expert! Go get em President Trump! Screw those Anti-American Dems! They are worthless and total losers! #MAGA",1, 1                    
Says the woman who was out in salons after the lockdown started. You all suck but Pelosi is hot garbage,1, 1                    
<user> <user> <user> You are delusional,0, 1                    
FUCK ALL YALL. #MASKSON,1, 1                    
"<user> What about the 190,000 that you and your husband have already killed and the thousand more that attended your Covid racist rallies?  Now your giving us tips? NO THANK YOU! You and your cheating husband will come nowhere around our families!!",1, 1                    
<user> <user> <user> <user> The only thing Joe Biden can draw are Trump supporters!!! <url>,0, 1                    
<user> #GFuelEnergy: Just $20 helps AFFIRM Los Angeles incarcerated juvenile probation youth through journal writing &amp; organized sports.  Feel inspired? Visit &amp; DONATE for our fall Affirmative Flag Football program at: <url>  #BlackLivesMatter #JuvenileProbation #PS5,0, 0                    
Have you heard this? <user> - FTP (NWA Mashup)  #blacklivesmatter  #CommishRadio <url>,0, 0                    
The way-,0, 0                    
""" <user> WHY DON'T YOU DOUBLE YOUR HUSTLE AND MAKE UP TO 10,000$ WHILE STAYING AT HOME TO AVOID COVID 19  """"ASK ME HOW""""""",0, 0                    
<user> how stupid do you feel back <user> Your legacy is in shambles. The corruption and traitorous deals with Chins make you look FOOLISH and prove to anyone awake your administration was NOT scandal free.,1, 1                    
<user> And your a has been.,0, 0                    
Me: damn this coronavirus is so scary                                                   Lu: good thing you only drink modelo foo,0, 0                    
"For some, White People Don’t Matter  Understand that <url>",1, 1                    
"Free UChicago Lectures On Racial Justice, Coronavirus And More Available <url> via  <user>",0, 0                    
"If California tried to secede, we'd be blockaded and Predator-droned and starved back into line within 2 weeks. <url>",0, 1                    
"""This is The Federalist's Corana Parties on steroids. Just because the governor said you *can* reopen, doesn't mean you *should* or *have to"""" reopen. Have some fucking common sense, people!   <url>",0, 1                    
<user> The common flu kills more than Covid. You e seized on this opportunity to mislead WA residents. What you’re doing and instructing residents to do is a complete scam and per your personal political agenda. #VOTEINSLEEOUT #RESIGN,0, 1                    
"<user> <user> - trump time to ban coats the science is clear!!! Biden whats your stand on coats? if you dont win this election biden, when the logic of trump gov't covid science is similar to this sort of logic, your country is ruined my friend. Trump is a joke",0, 1                    
<user> <user> Did Trump not hear.... the Trump tapes of him admitting Lying to the American people about how Contagious and Deadly Coronavirus can be to Everyone???????,0, 1                    
Go. Fuck. Yourself. You. Fucking. Stupid. Asshole. Racist.,1, 1                    
Cause Stone Cold said so! #BlackLivesMatter <url>,0, 1                    
Complete insanity dreamed up by people who live in fantasy world.,0, 1                    
<user> <user> <user> And then continue legislative constipation because the senate is locked by traitors to the people of this country. There is almost half the country who would happily leave their neighbors high and dry without batting an eye.,0, 1                    
"The New York Times Attempts to Name Coronavirus After Trump, Fails Miserably…Again <url> <url>",0, 1                    
We're all thinking it.  Trump gets coronavirus and spreads it through Republican ass kissing   #coronavirus  #FakePresident,1, 1                    
"<user> <user> <user> <user> <user> I'd say the same to you...You got duped by a Manic in the WH. I can't deal with the lies &amp; misinformation. Covid lies and 200,00 ppl have died. He's not a President.Hes a bad Business man. Who can't handle crisis that don't affect him personally. He doesn't care if his base dies.",0, 1                    
<user> <user> <user> Thank you for destroying USA,0, 1                    
When we opened back up just a little the #’s spiked. That should tell you something.  Stay home. Stop spreading this. You are putting me and people like me at a much increased risk. We are not expendable.   #COVIDIOTS  #TrumpFailedAmerica  #BidenHarris2020ToSaveAmerica,0, 0                    
"My beloved state of Texas, Governor Abbott, is against the murderous act of Mr. George Floyd. <url>",0, 0                    
<user> Hell Yeah!  Covid ain’t got nothing on a tough bastard like you.,0, 1                    
<user> Is that all you have? The racist label?,0, 1                    
<user> <user> Fuck off racist bitch.,1, 1                    
<user> as u should she made fun of george floyd’s death :(,0, 1 
"Crap! Stop the BS. He was paid large sums of money &amp; used this as a springboard to later fame &amp; more money which is what he wanted.  I watched several B&amp;W Minstrel shows with my parents &amp; neither the show nor my parents were racist.   Fact is, it was simply an early form of BGT.",1, 1                    
Look at all those people for Trump,0, 1                    
your kid fucking sucks at drawing,1, 1                    
What the frickity-frack?,0, 1 
<url> awful,0, 1 
This is happening in New York city #Cuomo  #Cuomohatesjews <url>,1, 1                    
If anyone actually believes the elites are following the same guidelines we are are fooling themselves! Just like in Massachusetts politicians were literally caught having party! #Michigan #Whitmer #COVID19 <url>,0, 1                    
"<user> It’s extremely shameful how quick you are to throw the movement under the bus, claiming that we are ""manipulating"" George Floyd’s TRAGIC AND UNJUST death to defend your racist friend. For the first time in history, racists are being forced to face consequences.",0, 1                    
😍THIS IS SO FUNNY!  😂🤣WATCH <user> MAKE A ASS/DONKEY OUT OF HIMSELF <url>,1, 1                    
<user> Sure Camel. When he imposed the travel bans the demoslobs called him xenophobic,1, 1                    
FUCK YES!!!!! 🦇  Work From Home with No Pants on continues through December 31st because my state doesn't know how to wear masks and my work is terrified of flu season!!!   Covid fucking sucks but WFH is amazing 🖤  #NoPantsDance #HermitLife #WearAMask <url>,0, 0                    
<user> Biden had America's back. He stabbed it.,0, 1                    
Now #antifa is attacking BLACK police officers for no reason.,0, 1                    
"<user> <user> WE ARE NO LONGER MAILING OUR BALLOTS. HAND DELIVER! HAND DELIVER! HAND DELIVER! DO IT TODAY, AS THERE ARE FREEZING STORMS ON THE WAY AND WE DON'T WANT DEMOCRATS TO GET SICK! LEAVE THE LINES FOR THE IGNORANT BIGOTS HOW WILL BE IN LINE ON ELECTION DAY!",1, 1                    
Expel the cop unions,0, 1                    
"Say their name. Darick Napper, 2015-11-19 #BlackLivesMatter.",0, 0                    
Things that make you go 🤔🤔🤔🤔🤔🤔 RUSSIA? BIDEN? LIBTARDS WHERE'S YOUR OUTRAGE ?!,1, 1                    
"Why does the Government Far Left, only pick on the Blacks, when there are so many other races in America?",0, 1                    
i don’t wanna go out ever again jesus y’all clearly don’t give a fuck then want the same people who warned you to feel sorry for you when you or your loved one get covid lmfao,1, 1                    
"<user> Joe Biden &amp; the China Communist P,which organised in a strategy to control the USA through Dumping &amp; Debt,&amp; attacks us with fentanyl with the Mexican cartels,the major threat to the USA Sign: <url> #MAGA #LaptopFromHell #COVID19 #China <user> <url>",0, 1                    
They should just call this chapter in the history books The Price of White Supremacy and have it just be the number of COVID-19 deaths.,1, 1                    
<user> <user> the KKK Racist democrats ride for their white Knight KKK Dementia Joe,1, 1                    
L.A. today #BlackLivesMatter  video: <url> <url>,0, 0                    
"You don't care about American lives. All you CAIR about is furthering your infiltrator's agenda of sowing division, hatred, &amp; anti-Semitism, while cheating, lying, stealing, &amp; spewing hateful rhetoric &amp; propoganda. The American people see right through you, zealot. #OustIlhanOmar",1, 1                    
"Saying you're white and grew up with a mostly non white population and know what racism is like is NOT HELPFUL and insulting to POC. #dearwhitepeople yes, you can experience discrimination but you haven't been marginalized by systemic racism.  Sit down &amp; listen! #blacklivesmatter",1, 1                    
"Flip Texas Blue!  Vote, your Vote is your Voice! fight for your right to vote, With Your Vote EVICT the GOP Suppressors OUT",0, 0                    
"<user> <user> A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.  Just in case you're to stupid amd lazy.. Last part read that nice and carefully. Haha liberals.. Village idiots",1, 1                    
"<user> Yes, you lost. Yes, the American people have fired you. But-  YES- you are President until January and there is still a pandemic. START SHOWING UP FOR AMERICANS NOW!! #trump #maga #donaldtrump #usa  #conservative #america #covid #politics #makeamericagreatagain <url>",0, 1                    
#DemocratsAreDestroyingAmerica #KAG2020 #BlackLivesMatter are terrorists,0, 1                    
sickest ive ever been in early November. literally thought i was gonna die.,0, 0                    
ppl get killed for breathing while being black and this... i’m glad this man isn’t dead but wow,0, 1                    
<user> and <user> - I can not and will not vote for someone who doesn’t fully support our law enforcement officers. You can make any excuse you want but the vast majority of the people want law and order now!,0, 1                    
"Derek, George Floyd’s murderer only got arrested because of international pressure. This man has been murdering people for years! This arrest isn’t justice #BlackLivesMatters <url>",0, 1                    
Imagine Siri being your favorite ally. 🖤 #BlackLivesMatter <url>,0, 0                    
this country is a fucking sham,1, 1                    
BBC News - George Floyd death: Minneapolis to host first memorial event <url>,0, 0                    
"No-class Obama strikes again. Now that the riots are starting to die down, he’s gotta fire them back up again. Soros’s orders.",0, 1                    
"Update: someone vandalized the sign I put up, along with someone else’s. If you still don’t think racism is a Canadian problem—wake up. It’s in your town. It’s your neighbours. #BlackLivesMatter <url>",0, 1                    
"This is callous and cruel to the hundreds of millions of Americans who've buried loved ones due to covid, without being allowed to even have proper funerals, and who are still grieving - while at risk of catching it themselves.",0, 1                    
<user> <user> How about those incompetent democrat governors forcing COVID-19 patients into nursing homes <url>,0, 1                    
"""Cheating at golf!"" There I fixed it for you! #BidenHarrisToSaveAmerica",0, 0                    
Chicken Sh*t way to drop out the debate!,1, 1                    
"<user> Go to hell, pedo",1, 1                    
what is new york doing 🥴,0, 0 
"""Black violence is expected and insoluble, while white violence requires explanation and demands solution.  Please look into your hearts and see how monstrously bigoted this formulation truly is."" #BLM #Hypocrisy <url>",0, 1                    
"<user> <user> ""nobody has so far painted him as a white supremacist""",0, 1                    
"#MAGA2020 #KAG fools! Your dumbass dictator is the one who caused this mess, the DEATHS, the economy that's in tatters because of his EGO!",1, 1                    
"I’ve had racist shit happen to me as a brown picnicker my entire childhood in Scotland (even when it was just me, my mum, my little sister), as a teen in Princes St Gardens, Edinburgh, as a student in Liverpool and Manchester",1, 1                    
#BREAKING #Anonymous #QAnon #NewsAlert #Trump #BlackLivesMatter  #PoliceReform #Seattle #COVID #GeorgeFloydprotes  Don't worry <user> <user> IS CLOSING 400 STORES SO DON'T WORRY THE TERRORISTS HAVE BEEN TAKEN CARE OF!  EFFEN BAPHOMET BASTARDS!  STAY CLASSY SEATTLE! <url>,1, 1                    
ALL BLACK PEOPLE SHOULD 1. GET A GUN LICENSE AND GUN and 2. REGISTER TO VOTE AND VOTE EVERY YEAR. #BlackTwitter #BlackLivesMatter,0, 1                    
"<user> Duty to care?  Yet, you don’t mind murdering children in the womb?  Your sick.  Who let their child get within 10 feet of you?",1, 1                    
Ohio GOP Lawmaker Claims COVID-19 Tests Are ‘Dictatorship’ Conspiracy — ‘Stop Getting Tested!’    <user> <url>,0, 1                    
<user> I remember very well. How can I forget. I support him doing it as well!!!! Just putting in my two cents. Screw the haters who says it's not Patriotic. They Obviously don't know what it stood for! He was brave for doing it! #BlackLivesMatter,0, 1                    
"Cuomo is moving up on the triangle of the deep state with his ridiculous, communist clown show.",0, 1                    
<user> A racist one. #IndigenousLivesMatter #BlackLivesMatter,0, 1                    
<user> <user> Its all about sharing the human experience. And in other news stuff it.,0, 0                    
"""Struggles with message"" is a strange way to say ""Explodes in Rabid Racism"".",0, 1                    
<user> <user> <user> I’m sure protesters did get covid from the protest but thats not the main source of the spread. There’s so many people that give a fuck about the virus until it actually hits home. We have most maga ppl refusing to wear a mask then bitch and complain when they are in lockdown.,1, 1                    
"<user> That’s because of the four-year temper tantrum the Left threw the night Trump won the election. You’ve wasted so much time on defaming him instead of informing us, so now we see you for what you are. This will all blow up in your face, mark me.",0, 1                    
<user> You mean the liberals do...cause all y'all do is cheat. No moral code,1, 1                    
<user> You misspelled anti murdering George Floyd,0, 1                    
"‘Young people need support and help finding ways to stay socially connected during the pandemic, said Julia L. Marcus, an assistant professor of population medicine at Harvard Medical School.’ via <user> <url>",0, 0                    
People are afraid 😢   I blame The Media on this hysteria. It's sickening 😣,0, 1                    
This is bad - really bad.,0, 0
"Bruce .<user> your ad insults the intelligence of American workers. They’re not stupid. They know if Biden wins, China wins. <url>",0, 1                    
"<user> Im not convinced of anything and have no faith. Before Covid all we heard were indictments were coming. Well where'd they go? Barr let's McCabe off,Comey still walking free,Strzok free and some still on payroll. Now the  wiped cell phones. FBI above the law. This is  shit show.",0, 1                    
Why is people making #GeorgeFloyd  a martyr? He served 5yrs for b&amp;e and sticking a shotgun to a womans pregnant belly.,0, 1                    
This is why so many people think Germans are the worst tourist.,1, 0
""" <user> <user> <user> Ooooo Jeff better run,  this moron just said """"you too Jeff""""😱😱😱 I'm so scared!!! Great now Covid-Donny might have a chance at winning because big Barry said """"you too jeff""""🤣🤣🤣 <url>",0, 1                    
"I spoke with the Mayor and City Aldermen about these racist messages who tell me there is one thing we need to be fighting and that’s COVID-19. More tonight at 6, 10 &amp; 11.",0, 0                    
<user> Disgraceful performance by Depends wearing Joe Biden.,1, 1                    
"<user> <user> Your number is off by 100k, 212,000+ Americans are dead <url>",0, 0                    
"4 days later and this review is still being highlighted on this books' page, perpetuating the idea that you have to read books only about your own experience. Are you going to comment <user>  #booktube #BlackLivesMatter",0, 0                    
"My 9YO son can’t fall asleep, just tearfully told me he can’t wait until there’s a world without #Covid.   Vote for <user> ya’ll, so our children can sleep easy. #Vote #VoteBlueToEndTheNightmare",0, 0                    
